layer,n,k,num_expert,m_pe,m_pe_padded,total_rows,backend,gran_k,t_us
fc1,4096,7168,8,1,1,8,cute_sm120,32,229.376
fc1,4096,7168,8,1,16,8,cudnn,32,256.0
fc1,4096,7168,8,1,128,8,dg,32,280.608
fc1,4096,7168,8,1,1,8,cutlass,32,504.128
fc1,4096,7168,8,1,1,8,cute_sm120,128,225.28
fc1,4096,7168,8,1,128,8,dg,128,260.096
fc1,4096,7168,8,1,1,8,cutlass,128,433.536
fc1,4096,7168,8,4,4,32,cute_sm120,32,229.376
fc1,4096,7168,8,4,16,32,cudnn,32,250.88
fc1,4096,7168,8,4,128,32,dg,32,282.624
fc1,4096,7168,8,4,4,32,cutlass,32,515.424
fc1,4096,7168,8,4,4,32,cute_sm120,128,225.28
fc1,4096,7168,8,4,128,32,dg,128,256.0
fc1,4096,7168,8,4,4,32,cutlass,128,432.96
fc1,4096,7168,8,8,8,64,cute_sm120,32,229.376
fc1,4096,7168,8,8,16,64,cudnn,32,253.952
fc1,4096,7168,8,8,128,64,dg,32,282.624
fc1,4096,7168,8,8,8,64,cutlass,32,507.136
fc1,4096,7168,8,8,8,64,cute_sm120,128,225.28
fc1,4096,7168,8,8,128,64,dg,128,260.096
fc1,4096,7168,8,8,8,64,cutlass,128,433.152
fc1,4096,7168,8,16,16,128,cute_sm120,32,229.376
fc1,4096,7168,8,16,16,128,cudnn,32,250.88
fc1,4096,7168,8,16,128,128,dg,32,283.648
fc1,4096,7168,8,16,16,128,cutlass,32,548.832
fc1,4096,7168,8,16,16,128,cute_sm120,128,225.28
fc1,4096,7168,8,16,128,128,dg,128,259.072
fc1,4096,7168,8,16,16,128,cutlass,128,430.912
fc1,4096,7168,8,192,192,1536,cute_sm120,32,264.192
fc1,4096,7168,8,192,192,1536,cudnn,32,278.528
fc1,4096,7168,8,192,256,1536,dg,32,301.056
fc1,4096,7168,8,192,192,1536,cutlass,32,632.576
fc1,4096,7168,8,192,192,1536,cute_sm120,128,260.096
fc1,4096,7168,8,192,256,1536,dg,128,272.384
fc1,4096,7168,8,192,192,1536,cutlass,128,457.056
fc1,4096,7168,8,256,256,2048,cute_sm120,32,268.288
