layer,n,k,num_expert,m_pe,m_pe_padded,total_rows,backend,gran_k,t_us
fc1,4096,7168,8,1,1,8,cute_sm120,128,225.28
fc1,4096,7168,8,1,128,8,dg,128,260.096
fc1,4096,7168,8,1,1,8,cutlass,128,431.36
fc1,4096,7168,8,1,16,8,cudnn,32,256.0
fc1,4096,7168,8,16,16,128,cute_sm120,128,225.28
fc1,4096,7168,8,16,128,128,dg,128,259.072
fc1,4096,7168,8,16,16,128,cutlass,128,437.408
fc1,4096,7168,8,16,16,128,cudnn,32,251.904
fc1,4096,7168,8,256,256,2048,cute_sm120,128,262.144
fc1,4096,7168,8,256,256,2048,dg,128,274.432
fc1,4096,7168,8,256,256,2048,cutlass,128,458.432
fc1,4096,7168,8,256,256,2048,cudnn,32,277.504
fc1,4096,7168,8,4096,4096,32768,cute_sm120,128,2610.176
fc1,4096,7168,8,4096,4096,32768,dg,128,2702.336
fc1,4096,7168,8,4096,4096,32768,cutlass,128,3089.76
fc1,4096,7168,8,4096,4096,32768,cudnn,32,2667.52
