E,m_pe,N,K,granK,median_us
4,1,4096,7168,128,37.696
4,4,4096,7168,128,37.568
4,8,4096,7168,128,37.152
4,16,4096,7168,128,41.600
4,192,4096,7168,128,127.552
4,256,4096,7168,128,127.360
4,1024,4096,7168,128,350.816
8,1,4096,7168,128,166.144
8,4,4096,7168,128,167.104
8,8,4096,7168,128,167.200
8,16,4096,7168,128,169.216
8,192,4096,7168,128,210.816
8,256,4096,7168,128,215.904
8,1024,4096,7168,128,624.448
4,1,7168,4096,128,39.520
4,4,7168,4096,128,36.160
4,8,7168,4096,128,35.808
4,16,7168,4096,128,40.608
4,192,7168,4096,128,110.976
4,256,7168,4096,128,111.584
4,1024,7168,4096,128,340.160
8,1,7168,4096,128,163.776
8,4,7168,4096,128,165.152
8,8,7168,4096,128,166.048
8,16,7168,4096,128,167.712
8,192,7168,4096,128,205.824
8,256,7168,4096,128,209.920
8,1024,7168,4096,128,664.384
