E,m_pe,N,K,granK,median_us
4,1,4096,7168,128,37.440
4,4,4096,7168,128,37.600
4,8,4096,7168,128,36.160
4,16,4096,7168,128,41.440
4,192,4096,7168,128,127.424
4,256,4096,7168,128,127.136
4,1024,4096,7168,128,351.904
8,1,4096,7168,128,166.336
8,4,4096,7168,128,167.040
8,8,4096,7168,128,167.456
8,16,4096,7168,128,168.928
8,192,4096,7168,128,210.848
8,256,4096,7168,128,216.640
8,1024,4096,7168,128,626.656
4,1,7168,4096,128,39.328
4,4,7168,4096,128,36.416
4,8,7168,4096,128,35.712
4,16,7168,4096,128,40.320
4,192,7168,4096,128,110.912
4,256,7168,4096,128,111.008
4,1024,7168,4096,128,340.096
8,1,7168,4096,128,163.744
8,4,7168,4096,128,164.992
8,8,7168,4096,128,165.824
8,16,7168,4096,128,167.616
8,192,7168,4096,128,205.600
8,256,7168,4096,128,209.664
8,1024,7168,4096,128,665.120
