E,m_pe,N,K,granK,median_us
4,1,4096,7168,128,37.568
4,4,4096,7168,128,37.472
4,8,4096,7168,128,35.616
4,16,4096,7168,128,41.504
4,192,4096,7168,128,127.488
4,256,4096,7168,128,126.592
4,1024,4096,7168,128,349.920
8,1,4096,7168,128,165.920
8,4,4096,7168,128,167.040
8,8,4096,7168,128,167.232
8,16,4096,7168,128,168.928
8,192,4096,7168,128,210.560
8,256,4096,7168,128,215.872
8,1024,4096,7168,128,622.784
4,1,7168,4096,128,39.392
4,4,7168,4096,128,35.648
4,8,7168,4096,128,35.456
4,16,7168,4096,128,40.000
4,192,7168,4096,128,110.944
4,256,7168,4096,128,111.136
4,1024,7168,4096,128,340.128
8,1,7168,4096,128,163.712
8,4,7168,4096,128,165.088
8,8,7168,4096,128,165.664
8,16,7168,4096,128,167.232
8,192,7168,4096,128,205.600
8,256,7168,4096,128,209.824
8,1024,7168,4096,128,663.616
