E,m_pe,N,K,granK,median_us
4,1,4096,7168,128,37.600
4,4,4096,7168,128,37.440
4,8,4096,7168,128,35.552
4,16,4096,7168,128,41.376
4,192,4096,7168,128,127.488
4,256,4096,7168,128,128.896
4,1024,4096,7168,128,355.744
8,1,4096,7168,128,165.952
8,4,4096,7168,128,166.976
8,8,4096,7168,128,167.104
8,16,4096,7168,128,169.024
8,192,4096,7168,128,210.944
8,256,4096,7168,128,215.296
8,1024,4096,7168,128,623.296
4,1,7168,4096,128,39.168
4,4,7168,4096,128,35.648
4,8,7168,4096,128,35.520
4,16,7168,4096,128,40.128
4,192,7168,4096,128,110.880
4,256,7168,4096,128,111.040
4,1024,7168,4096,128,340.224
8,1,7168,4096,128,163.616
8,4,7168,4096,128,164.800
8,8,7168,4096,128,165.696
8,16,7168,4096,128,167.456
8,192,7168,4096,128,205.056
8,256,7168,4096,128,209.664
8,1024,7168,4096,128,662.720
