E,m_pe,N,K,granK,calc_diff,cos_sim,verdict
4,uniform_1,4096,7168,128,1.864893e-09,1.000000,PASS
4,uniform_4,4096,7168,128,9.606405e-10,1.000000,PASS
4,uniform_8,4096,7168,128,1.164971e-09,1.000000,PASS
4,uniform_8,4096,7168,32,1.164971e-09,1.000000,PASS
4,uniform_16,4096,7168,128,5.140163e-10,1.000000,PASS
4,uniform_192,4096,7168,128,8.174342e-10,1.000000,PASS
4,uniform_256,4096,7168,128,7.472343e-10,1.000000,PASS
4,uniform_256,4096,7168,32,7.600464e-10,1.000000,PASS
4,uniform_1024,4096,7168,128,4.709533e-11,1.000000,PASS
8,uniform_1,4096,7168,128,1.871518e-09,1.000000,PASS
8,uniform_4,4096,7168,128,7.439589e-10,1.000000,PASS
8,uniform_8,4096,7168,128,8.847036e-10,1.000000,PASS
8,uniform_8,4096,7168,32,7.678639e-10,1.000000,PASS
8,uniform_16,4096,7168,128,5.103917e-10,1.000000,PASS
8,uniform_192,4096,7168,128,6.621762e-10,1.000000,PASS
8,uniform_256,4096,7168,128,7.468810e-10,1.000000,PASS
8,uniform_256,4096,7168,32,7.560026e-10,1.000000,PASS
8,uniform_1024,4096,7168,128,4.109546e-11,1.000000,PASS
8,uneven,4096,7168,128,9.715325e-10,1.000000,PASS
8,empty_expert,4096,7168,128,8.012995e-10,1.000000,PASS
4,uniform_1,7168,4096,128,2.763345e-13,1.000000,PASS
4,uniform_4,7168,4096,128,2.960029e-10,1.000000,PASS
4,uniform_8,7168,4096,128,2.091478e-10,1.000000,PASS
4,uniform_8,7168,4096,32,7.172666e-10,1.000000,PASS
4,uniform_16,7168,4096,128,1.970007e-10,1.000000,PASS
4,uniform_192,7168,4096,128,2.059886e-11,1.000000,PASS
4,uniform_256,7168,4096,128,1.412392e-11,1.000000,PASS
4,uniform_256,7168,4096,32,1.008249e-11,1.000000,PASS
4,uniform_1024,7168,4096,128,3.785572e-11,1.000000,PASS
8,uniform_1,7168,4096,128,1.359900e-10,1.000000,PASS
8,uniform_4,7168,4096,128,1.585423e-10,1.000000,PASS
8,uniform_8,7168,4096,128,4.975582e-10,1.000000,PASS
8,uniform_8,7168,4096,32,4.891324e-10,1.000000,PASS
8,uniform_16,7168,4096,128,2.206717e-10,1.000000,PASS
8,uniform_192,7168,4096,128,2.341249e-11,1.000000,PASS
8,uniform_256,7168,4096,128,1.530176e-11,1.000000,PASS
8,uniform_256,7168,4096,32,1.334610e-11,1.000000,PASS
8,uniform_1024,7168,4096,128,2.283929e-11,1.000000,PASS
8,uneven,7168,4096,128,8.685785e-11,1.000000,PASS
8,empty_expert,7168,4096,128,3.706713e-11,1.000000,PASS
