E,m_pe,N,K,cute_us,cutlass_us,speedup
4,4,4096,7168,38.912,124.672,+68.79%
4,8,4096,7168,37.408,101.536,+63.16%
4,16,4096,7168,44.672,104.192,+57.13%
4,192,4096,7168,143.456,171.072,+16.14%
4,256,4096,7168,139.136,151.808,+8.35%
4,1024,4096,7168,384.576,388.160,+0.92%
8,4,4096,7168,166.784,206.624,+19.28%
8,8,4096,7168,168.096,201.856,+16.72%
8,16,4096,7168,172.416,207.936,+17.08%
8,192,4096,7168,221.344,239.392,+7.54%
8,256,4096,7168,224.384,243.424,+7.82%
8,1024,4096,7168,694.368,697.216,+0.41%
4,4,7168,4096,37.600,108.704,+65.41%
4,8,7168,4096,37.088,106.784,+65.27%
4,16,7168,4096,43.520,107.328,+59.45%
4,192,7168,4096,119.008,144.192,+17.47%
4,256,7168,4096,116.992,136.128,+14.06%
4,1024,7168,4096,354.368,373.472,+5.12%
8,4,7168,4096,163.968,195.104,+15.96%
8,8,7168,4096,164.256,194.400,+15.51%
8,16,7168,4096,166.112,201.984,+17.76%
8,192,7168,4096,210.624,225.120,+6.44%
8,256,7168,4096,214.752,226.144,+5.04%
8,1024,7168,4096,690.144,713.184,+3.23%
