E,m_pe,N,K,calc_diff,verdict
4,uniform_1,4096,7168,7.078017e-04,PASS
4,uniform_4,4096,7168,6.975539e-04,PASS
4,uniform_8,4096,7168,7.118342e-04,PASS
4,uniform_16,4096,7168,7.112034e-04,PASS
4,uniform_192,4096,7168,7.122801e-04,PASS
4,uniform_256,4096,7168,7.113498e-04,PASS
4,uniform_1024,4096,7168,7.118956e-04,PASS
8,uniform_1,4096,7168,7.153977e-04,PASS
8,uniform_4,4096,7168,7.108641e-04,PASS
8,uniform_8,4096,7168,7.107627e-04,PASS
8,uniform_16,4096,7168,7.106931e-04,PASS
8,uniform_192,4096,7168,7.111537e-04,PASS
8,uniform_256,4096,7168,7.123924e-04,PASS
8,uniform_1024,4096,7168,7.118163e-04,PASS
8,uneven,4096,7168,7.135747e-04,PASS
8,empty_expert,4096,7168,7.105069e-04,PASS
16,routing_512,4096,7168,7.104058e-04,PASS
4,uniform_1,7168,4096,7.198841e-04,PASS
4,uniform_4,7168,4096,7.175523e-04,PASS
4,uniform_8,7168,4096,7.111921e-04,PASS
4,uniform_16,7168,4096,7.139984e-04,PASS
4,uniform_192,7168,4096,7.122620e-04,PASS
4,uniform_256,7168,4096,7.127991e-04,PASS
4,uniform_1024,7168,4096,7.131537e-04,PASS
8,uniform_1,7168,4096,7.154160e-04,PASS
8,uniform_4,7168,4096,7.111964e-04,PASS
8,uniform_8,7168,4096,7.123245e-04,PASS
8,uniform_16,7168,4096,7.129239e-04,PASS
8,uniform_192,7168,4096,7.130825e-04,PASS
8,uniform_256,7168,4096,7.137928e-04,PASS
8,uniform_1024,7168,4096,7.135053e-04,PASS
8,uneven,7168,4096,7.115384e-04,PASS
8,empty_expert,7168,4096,7.137296e-04,PASS
16,routing_512,7168,4096,7.112462e-04,PASS
