E,m_pe,N,K,cute_us,cudnn_us,speedup
4,1,4096,7168,39.296,88.928,+55.81%
4,4,4096,7168,37.216,79.072,+52.93%
4,8,4096,7168,37.440,77.536,+51.71%
4,16,4096,7168,45.344,108.768,+58.31%
4,192,4096,7168,141.824,231.744,+38.80%
4,256,4096,7168,141.856,169.632,+16.37%
4,1024,4096,7168,387.008,398.784,+2.95%
8,1,4096,7168,166.656,206.144,+19.16%
8,4,4096,7168,167.808,208.544,+19.53%
8,8,4096,7168,167.968,203.072,+17.29%
8,16,4096,7168,172.640,207.584,+16.83%
8,192,4096,7168,222.976,343.936,+35.17%
8,256,4096,7168,223.264,330.432,+32.43%
8,1024,4096,7168,692.256,677.504,-2.18%
4,1,7168,4096,41.312,84.192,+50.93%
4,4,7168,4096,37.312,85.440,+56.33%
4,8,7168,4096,37.312,79.840,+53.27%
4,16,7168,4096,45.152,76.736,+41.16%
4,192,7168,4096,119.392,120.160,+0.64%
4,256,7168,4096,118.816,156.640,+24.15%
4,1024,7168,4096,354.144,386.560,+8.39%
8,1,7168,4096,162.880,199.680,+18.43%
8,4,7168,4096,163.584,262.496,+37.68%
8,8,7168,4096,164.768,260.800,+36.82%
8,16,7168,4096,166.976,265.184,+37.03%
8,192,7168,4096,208.928,300.192,+30.40%
8,256,7168,4096,215.776,300.608,+28.22%
8,1024,7168,4096,688.448,708.544,+2.84%
