backend,m,hidden,intermediate_tp,experts,topk,timing,flush_l2,l2_flush_bytes,warmup,iters,repeats,median_us,tflops,samples_ms,error,backend_detail,quant_mode,storage,implementation,input_dtype
flashinfer_cutedsl,1,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,46.42431989312172,1.084165543315955,0.046614;0.046467;0.046289;0.046323;0.046424,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,2,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,69.22496005892754,1.4541474045533678,0.069283;0.069225;0.069247;0.069217;0.068965,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,4,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,92.7199999988079,2.1713394305714884,0.092732;0.092767;0.092371;0.092720;0.092594,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,8,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,146.73151940107346,2.744149216497885,0.146661;0.147025;0.146529;0.146995;0.146732,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,16,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,214.90943789482117,3.7471894016777663,0.215027;0.215021;0.214842;0.214909;0.214863,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,32,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,308.6636805534363,5.218018307538352,0.308329;0.308715;0.309268;0.308634;0.308664,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,64,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,430.4313600063324,7.483714643729979,0.430431;0.430990;0.429618;0.430660;0.429928,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,128,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,516.2137627601624,12.480199887644648,0.516794;0.515978;0.515944;0.516214;0.516266,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,256,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,529.3567991256714,24.340675153850388,0.529700;0.529357;0.529354;0.529783;0.529279,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
flashinfer_cutedsl,512,2048,512,256,8,cuda_graph_events_inside,1,201326592,5,50,5,551.0438394546509,46.76543303978045,0.550536;0.550978;0.551123;0.551044;0.551165,,flashinfer.fused_moe.cute_dsl.B12xMoEWrapper,w4a4(alias nvfp4),modelopt_packed_fp4,sm120_b12x_cutedsl_wrapper,bfloat16
