m,arm,phase,relationship,nsys_original_launch_skip,kernel_function,grid,block,nsys_duration_ns,report_sha256,ncu_duration_ns,dram_read_bytes,dram_write_bytes,l2_read_sectors,l2_write_sectors,lsu_global_load_footprint_bytes,lsu_global_store_footprint_bytes,global_atomic_sectors,global_reduction_sectors,local_load_sectors,local_store_sectors,dynamic_warp_instructions,tensor_hmma_qmma_omma_instructions,fp4_to_fp32_tensor_ops,tensor_active_pct,issue_active_pct,eligible_warps_per_cycle,active_warps_pct,ipc_active,alu_instructions,fma_instructions,lsu_instructions,uniform_instructions,shared_load_wavefronts,shared_store_wavefronts,shared_load_bank_conflicts,shared_store_bank_conflicts,stall_barrier_pct,stall_long_scoreboard_pct,stall_short_scoreboard_pct,stall_wait_pct,stall_not_selected_pct,stall_math_pipe_throttle_pct,stall_mio_throttle_pct,stall_lg_throttle_pct,registers_per_thread,allocated_registers_per_thread,shared_mem_per_block_bytes,dynamic_shared_mem_per_block_bytes,configured_stack_limit_bytes,waves_per_sm,register_occupancy_limit_blocks,shared_mem_occupancy_limit_blocks,dram_total_bytes,l2_read_write_sector_bytes,global_atomic_footprint_bytes,global_reduction_footprint_bytes,local_load_footprint_bytes,local_store_footprint_bytes,local_total_footprint_bytes,shared_load_conflicts_per_wavefront,shared_store_conflicts_per_wavefront
256,cutedsl_bf16_fused,fused_main,paired,1,kernel_cutlass_kernel_flashinferfused_moecute_dslblackwell_sm12xmoe_dynamic_kernelMoEDynamicKernel_object_at__tensorptrbf16gmemalign16o204820481_tensorptri32gmemo1_tensorptrf32gmemo1_tens_0,1x1x110,160x1x1,496414,e92c849b77acc027bfdb2fabab9e759989d70b60d1c1b4a94cd51e1c766df1a8,533376.0,494041344.0,9200128.0,32455127.0,2203113.0,135564480.0,5623392.0,5480.0,1048576.0,1998848.0,1998848.0,71010033.0,12582912.0,206158430208.0,38.421620369201285,13.612344651763546,0.13819602798018915,10.414401893941928,0.1357886104322151,20732089.0,14716973.0,10374371.0,1076347.0,15696479.0,4682378.0,2120300.0,188109.0,10.121155556444752,9.188321655656296,3.0338522268031713,30.43861348786822,0.16738218367637586,0.0452992940853743,2.93531497127415,0.2254959707582594,255.0,256.0,92160.0,91136.0,1024.0,1.0,1.0,1.0,503241472.0,1109063680.0,175360.0,33554432.0,63963136.0,63963136.0,127926272.0,0.1350812497503421,0.04017381766273462
256,cutlass_bf16_chain,expand_quant,paired,3,expandInputRowsKernel,880x1x1,256x1x1,11008,c5a7b79c62207680f4cc00cfd11609298ee0e39e9b04cf37881429e5f785a515,15616.0,1070080.0,0.0,268057.0,131463.0,39551744.0,4194304.0,0.0,0.0,0.0,0.0,5758624.0,0.0,0.0,0.0,42.237899617596995,1.3392728680460244,72.18314933568794,0.42237899617597,3564272.0,823936.0,309144.0,232192.0,0.0,0.0,0.0,0.0,0.0,59.25787974513417,2.449126610641213,12.351598789256077,10.697415066942709,6.484079552242035,0.33002876763231886,0.02020112176271219,48.0,48.0,1024.0,0.0,1024.0,1.6,5.0,16.0,1070080.0,12784640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,cutlass_bf16_chain,fc1,paired,5,device_kernel,1x110x1,384x1x1,273248,fc1ad3a3022e67ab04a1bd9098aca54f7ce5cfe329601115b01287d5c6955378,285344.0,308485120.0,6227968.0,18969400.0,489369.0,14903232.0,0.0,57344.0,0.0,343640.0,357192.0,34674799.0,8388608.0,137438953472.0,47.714264599678074,12.660182472241557,0.1712246091897599,22.91646915736168,0.12535867521152982,8635059.0,2841426.0,6708984.0,2975244.0,16892917.0,724552.0,1057781.0,69176.0,6.664889902577095,12.500437085396918,1.001851566651232,14.88019554473185,1.6055131172480432,18.32098746353684,1.49248274580152,0.0007614889069739253,168.0,168.0,90112.0,89088.0,1024.0,1.0,1.0,1.0,314713088.0,622680608.0,1835008.0,0.0,10996480.0,11430144.0,22426624.0,0.06261683520969173,0.09547416886572668
256,cutlass_bf16_chain,activation_requant,paired,6,doActivationKernel,880x1x1,256x1x1,9600,9befc5ef61c2f03ad5025705f61b6f4d796983f53ae020f95972a30d6d5b9103,14560.0,4208384.0,0.0,140680.0,33121.0,22250240.0,1048576.0,0.0,0.0,0.0,0.0,4450024.0,0.0,0.0,0.0,35.054781663060766,0.9092653226972186,54.81409047037194,0.3505478166306077,2541600.0,611096.0,239512.0,317056.0,0.0,0.0,0.0,0.0,0.0,63.32092787038164,2.384547575065445,14.183101944836984,8.189918090123593,4.067502426573208,0.6876789291735713,0.0042372514407287235,57.0,64.0,1024.0,0.0,1024.0,2.0,4.0,16.0,4208384.0,5561632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,cutlass_bf16_chain,fc2,paired,7,device_kernel,1x110x1,384x1x1,204031,9971aa6821fa6bfa19f84d92ecf62257a9609acef45f35c92c1761e1fd8afb2d,197984.0,152770304.0,6241792.0,9577262.0,936105.0,23724224.0,0.0,114688.0,0.0,632258.0,672284.0,36914036.0,4194304.0,68719476736.0,33.84879670660714,18.49714224781212,0.25011104309064264,22.91280878340587,0.18405732451155424,11271769.0,4827516.0,5439723.0,4660556.0,8618106.0,1400713.0,540948.0,96121.0,12.481997362178,24.480635238880165,2.649701618127582,16.14843264933095,2.4316920726951707,12.905758748640269,1.623651290740289,0.002690661195684071,168.0,168.0,90112.0,89088.0,1024.0,1.0,1.0,1.0,159012096.0,336427744.0,3670016.0,0.0,20232256.0,21513088.0,41745344.0,0.06276878005445743,0.06862290847589764
256,cutlass_bf16_chain,finalize,paired,8,finalizeMoeRoutingKernel,256x1x1,256x1x1,7040,13a498deb4269d369a0e019bf030754bbd3834841620c17e1ef971ed06770f35,12000.0,8418816.0,0.0,266829.0,55242.0,35127296.0,4194304.0,0.0,0.0,0.0,0.0,1941504.0,0.0,0.0,0.0,19.408468292636115,0.28205989451971564,36.88472991695589,0.19408468292636116,919552.0,557056.0,190464.0,98304.0,0.0,0.0,0.0,0.0,0.0,82.58677320512294,2.4141194714434624,5.827607610877242,1.9882844384268157,0.8831017476112276,0.2005779660528107,1.2959513888507972,48.0,48.0,1024.0,0.0,1024.0,0.46545454545454545,5.0,16.0,8418816.0,10306272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,cutedsl_bf16_fused,fused_main,paired,1,kernel_cutlass_kernel_flashinferfused_moecute_dslblackwell_sm12xmoe_dynamic_kernelMoEDynamicKernel_object_at__tensorptrbf16gmemalign16o204820481_tensorptri32gmemo1_tensorptrf32gmemo1_tens_0,1x1x110,160x1x1,1759483,e9d771dd858628a55222447dbca642672c2bcb5e52937736ee006b45eb2d2a1a,1898560.0,689652736.0,243741696.0,73246281.0,10397123.0,4307650336.0,172457824.0,121153.0,33554432.0,4950272.0,4950272.0,386612525.0,31162368.0,510564237312.0,25.719972713067055,19.977303024354487,0.20242578461606392,10.416062030671572,0.19957921031495351,161160748.0,101418073.0,53435738.0,2812088.0,112327684.0,13136158.0,58542896.0,1461100.0,5.7077276408794475,19.01387609483382,9.76628317203694,29.253469584306448,0.21004800923137076,0.23451821455644312,2.203299381139814,0.47713663622496505,255.0,256.0,92160.0,91136.0,1024.0,1.0,1.0,1.0,933394432.0,2676588928.0,3876896.0,1073741824.0,158408704.0,158408704.0,316817408.0,0.5211795873936117,0.111227346686908
8192,cutlass_bf16_chain,expand_quant,paired,3,expandInputRowsKernel,880x1x1,256x1x1,245600,24f475f2c68bc909843367f54177550798656167978f99dcf43d236255bee23f,276160.0,34284288.0,39782144.0,8466044.0,4209370.0,1258648832.0,134217728.0,0.0,0.0,0.0,0.0,168335712.0,0.0,0.0,0.0,61.05189841677304,2.24353550227861,69.5239519335303,0.6105189841677304,109248144.0,25711232.0,9455400.0,1755904.0,0.0,0.0,0.0,0.0,0.0,31.745981818921365,3.575998460915907,19.60264617307444,19.509466099161347,13.18301168158811,0.027338616835997247,0.013522389611257896,48.0,48.0,1024.0,0.0,1024.0,1.6,5.0,16.0,74066432.0,405613248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8192,cutlass_bf16_chain,fc1,paired,5,device_kernel,1x110x1,384x1x1,510175,7736b2adbf5685381d21255ac02bbb5fc59c762810e27562819ea14cbbc75e0a,547712.0,379689728.0,111840768.0,46915295.0,5018834.0,28080576.0,0.0,142016.0,0.0,842600.0,822888.0,84241512.0,20774912.0,340376158208.0,62.68521721451377,15.959934988728143,0.21742310006492316,22.91535954045652,0.15841849696374982,20921601.0,6973042.0,16522040.0,7169340.0,41851125.0,1783370.0,2634421.0,169386.0,7.0645729526903995,12.317860635123992,1.2075267857519751,19.224105941343904,2.1116976303435075,24.063861019884,2.209232800327955,0.0005423921748091714,168.0,168.0,90112.0,89088.0,1024.0,1.0,1.0,1.0,491530496.0,1661892128.0,4544512.0,0.0,26963200.0,26332416.0,53295616.0,0.0629474357021466,0.09498085086101034
8192,cutlass_bf16_chain,activation_requant,paired,6,doActivationKernel,880x1x1,256x1x1,231647,cae06ff8fc9a9066987dbd1a935a7bc5f7e55f88e240ba8c91f44ef473627070,254976.0,134487552.0,9946624.0,4213258.0,1058184.0,705000704.0,33554432.0,0.0,0.0,0.0,0.0,127549528.0,0.0,0.0,0.0,53.492264983569136,1.5067324573774423,44.10983341877192,0.5349226498356914,78267104.0,18899624.0,7227176.0,4253312.0,0.0,0.0,0.0,0.0,0.0,26.866959289953275,3.348234719773942,27.262193287962845,17.62518997330325,9.99053324933142,0.413558641798089,0.01067110966635152,57.0,64.0,1024.0,0.0,1024.0,2.0,4.0,16.0,144434176.0,168686144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
