m,metric,cutedsl_fused,cutlass_bf16_chain,cutedsl_minus_chain,cutedsl_vs_chain_percent
256,dram_total_authority_bytes,503277312.0,480082176.0,23195136.0,4.831492848424346
256,dram_read_bytes,494065664.0,466240768.0,27824896.0,5.967924280701253
256,dram_write_bytes,9211648.0,13841408.0,-4629760.0,-33.44862025597396
256,l2_total_authority_bytes,1143424480.0,995430880.0,147993600.0,14.867290434068114
256,l2_read_bytes,1038745280.0,935916160.0,102829120.0,10.987001228828008
256,l2_write_bytes,70478976.0,53287072.0,17191904.0,32.26280475684609
256,l2_atomic_bytes,175360.0,5505024.0,-5329664.0,-96.81454613095238
256,l2_reduction_bytes,33554432.0,0.0,33554432.0,
256,l2_membar_bytes,412064.0,548768.0,-136704.0,-24.911073531984375
256,lsu_global_load_footprint_bytes,135557472.0,152196160.0,-16638688.0,-10.932396717499316
256,lsu_global_store_footprint_bytes,5624416.0,9763360.0,-4138944.0,-42.39261893446519
256,lsu_global_atomic_footprint_bytes,175360.0,5505024.0,-5329664.0,-96.81454613095238
256,lsu_global_reduction_footprint_bytes,33554432.0,0.0,33554432.0,
256,lsu_global_ldgsts_footprint_bytes,0.0,0.0,0.0,
256,lsu_global_t_stage_footprint_bytes,174911680.0,167464544.0,7447136.0,4.446992672072714
256,tma_global_load_interface_bytes,754974720.0,905969664.0,-150994944.0,-16.666666666666664
256,tma_global_store_interface_bytes,0.0,12582912.0,-12582912.0,-100.0
256,tma_global_reduction_interface_bytes,0.0,0.0,0.0,
256,tma_global_interface_bytes,754974720.0,918552576.0,-163577856.0,-17.808219178082197
256,local_load_footprint_bytes,63963136.0,31229792.0,32733344.0,104.81447971219278
256,local_store_footprint_bytes,63963136.0,32945344.0,31017792.0,94.14924306147783
256,local_total_footprint_bytes,127926272.0,64175136.0,63751136.0,99.33930798370261
256,dynamic_warp_instructions,71011115.0,84137082.0,-13125967.0,-15.600691975507308
256,tensor_hmma_qmma_omma_instructions,12582912.0,12582912.0,0.0,0.0
256,fp4_to_fp32_tensor_ops,206158430208.0,206158430208.0,0.0,0.0
256,physical_routed_rows_from_fp4_ops,32768.0,32768.0,0.0,0.0
256,physical_padding_factor,16.0,16.0,0.0,0.0
8192,dram_total_authority_bytes,933777152.0,1454169856.0,-520392704.0,-35.78623926584819
8192,dram_read_bytes,689325312.0,953981184.0,-264655872.0,-27.742252828332514
8192,dram_write_bytes,244451840.0,500188672.0,-255736832.0,-51.12807352822257
8192,l2_total_authority_bytes,3753998592.0,3694406592.0,59592000.0,1.6130330681263683
8192,l2_read_bytes,2343540352.0,2964341344.0,-620800992.0,-20.942291050810912
8192,l2_write_bytes,332379968.0,715131712.0,-382751744.0,-53.52185304851926
8192,l2_atomic_bytes,3876896.0,13633536.0,-9756640.0,-71.56353274748385
8192,l2_reduction_bytes,1073741824.0,0.0,1073741824.0,
8192,l2_membar_bytes,485728.0,639200.0,-153472.0,-24.01001251564455
8192,lsu_global_load_footprint_bytes,4307633824.0,3697934720.0,609699104.0,16.487557249252905
8192,lsu_global_store_footprint_bytes,172458848.0,306435744.0,-133976896.0,-43.72104058461274
8192,lsu_global_atomic_footprint_bytes,3876896.0,13633536.0,-9756640.0,-71.56353274748385
8192,lsu_global_reduction_footprint_bytes,1073741824.0,0.0,1073741824.0,
8192,lsu_global_ldgsts_footprint_bytes,0.0,0.0,0.0,
8192,lsu_global_t_stage_footprint_bytes,5557711392.0,4018004000.0,1539707392.0,38.32020555479785
8192,tma_global_load_interface_bytes,1869742080.0,2243690496.0,-373948416.0,-16.666666666666664
8192,tma_global_store_interface_bytes,0.0,402653184.0,-402653184.0,-100.0
8192,tma_global_reduction_interface_bytes,0.0,0.0,0.0,
8192,tma_global_interface_bytes,1869742080.0,2646343680.0,-776601600.0,-29.346210995542343
8192,local_load_footprint_bytes,158408704.0,76807712.0,81600992.0,106.24062333740652
8192,local_store_footprint_bytes,158408704.0,77652544.0,80756160.0,103.99679886855995
8192,local_total_footprint_bytes,316817408.0,154460256.0,162357152.0,105.11257471954467
8192,dynamic_warp_instructions,386620221.0,544531672.0,-157911451.0,-28.999497939212617
8192,tensor_hmma_qmma_omma_instructions,31162368.0,31162368.0,0.0,0.0
8192,fp4_to_fp32_tensor_ops,510564237312.0,510564237312.0,0.0,0.0
8192,physical_routed_rows_from_fp4_ops,81152.0,81152.0,0.0,0.0
8192,physical_padding_factor,1.23828125,1.23828125,0.0,0.0
