case,m,semantic_fixture,anchor_relative_l2_self_drift,candidate_relative_l2_self_drift,candidate_vs_anchor_worst_relative_l2,candidate_vs_anchor_worst_max_abs,required_for_final_gate,gate_pass
canonical_m256,256,deterministic_synthetic_random_logits,0.006905139423906803,0.006930861156433821,0.0070060440339148045,0.015625,True,True
canonical_m8192,8192,deterministic_synthetic_random_logits,0.006506303325295448,0.0065925647504627705,0.006675377953797579,0.01953125,True,True
sparse_empty,256,directed_sparse_empty,0.0091182766482234,0.00917937234044075,0.00918995775282383,0.01953125,True,True
exact_128,256,directed_exact_128,0.0072967722080647945,0.007462994661182165,0.007460123393684626,0.015625,True,True
tail_129,256,directed_tail_129,0.007169363088905811,0.007484883069992065,0.007439604494720697,0.015625,True,True
hot_expert,256,directed_hot_expert,0.007067385595291853,0.007354892790317535,0.007384211290627718,0.015625,True,True
canary_up_v0,256,branch_half_slice_canary_up,0.0006913149845786393,0.0008966380264610052,0.0010185634018853307,0.25,False,False
canary_gate_v0,256,branch_half_slice_canary_gate,0.001002576551400125,0.000974718015640974,0.001122125773690641,0.25,False,False
canary_up_v2,256,branch_half_slice_canary_up,0.0008348230621777475,0.000921353290323168,0.0011833437019959092,0.0625,True,True
canary_gate_v2,256,branch_half_slice_canary_gate,0.0009569288813509047,0.0010671227937564254,0.001235748641192913,0.0625,True,True
