pair,m,group,position,external_arm,role,internal_arm,sample_us,warmup,iters,l2_flush_bytes,declared_clock_policy,gpu_uuid,applications_graphics_clock_mhz,overlay_sha256,jit_artifact_set_sha256,cubin_sha256,canonical_preparation_sha256,pair_preparation_sha256,measurement_sha256,measurement_path
primary,256,0,0,v0,baseline,candidate_8warp_n64_temporal_replay_v0,571.6947221755981,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,29022d8c3f6fc5ed65923140a82ca33b59eba807a9395679a1a960a6f5183f8e,"[""a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9""]",b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,8e5b9ccc436cf4ddf4cc6e6c5b273665c86b07c7c63a0b7b5f8bca8386e4d1ff,e2e/primary/v0/raw/benchmark/m256/group_0_position_0_candidate_8warp_n64_temporal_replay_v0.json
primary,256,0,1,v1,candidate,candidate_8warp_n64_temporal_replay_v0,519.2620813846588,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,c22a5449113ba7c1c9a40bf02e14698cc84f1e90c56232718eba29d5a06de486,"[""4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725""]",04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,e7c606c58864436e232a22037b4e8d264ef6107377e7746023f3c4f8ea23f8dc,e2e/primary/v1/raw/benchmark/m256/group_0_position_1_candidate_8warp_n64_temporal_replay_v0.json
primary,256,0,2,v1,candidate,candidate_8warp_n64_temporal_replay_v0,519.2646443843842,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,c22a5449113ba7c1c9a40bf02e14698cc84f1e90c56232718eba29d5a06de486,"[""4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725""]",04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,e8bbfd29b2cd02d85767085037cff31f7c8ef8bf8a5b0034b415662b47c8631e,e2e/primary/v1/raw/benchmark/m256/group_0_position_2_candidate_8warp_n64_temporal_replay_v0.json
primary,256,0,3,v0,baseline,candidate_8warp_n64_temporal_replay_v0,571.6479992866516,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,29022d8c3f6fc5ed65923140a82ca33b59eba807a9395679a1a960a6f5183f8e,"[""a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9""]",b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,730065b6cf4ff0e4441750ac82baa6dfd5d3f1371b15e07be696513afdcb7cef,e2e/primary/v0/raw/benchmark/m256/group_0_position_3_candidate_8warp_n64_temporal_replay_v0.json
primary,256,1,0,v0,baseline,candidate_8warp_n64_temporal_replay_v0,571.5059220790863,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,29022d8c3f6fc5ed65923140a82ca33b59eba807a9395679a1a960a6f5183f8e,"[""a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9""]",b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,90f101733d2a7962cdc71160346a5fc48710cf2201471da89ea1e1a9de6a7abe,e2e/primary/v0/raw/benchmark/m256/group_1_position_0_candidate_8warp_n64_temporal_replay_v0.json
primary,256,1,1,v1,candidate,candidate_8warp_n64_temporal_replay_v0,519.2819225788116,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,c22a5449113ba7c1c9a40bf02e14698cc84f1e90c56232718eba29d5a06de486,"[""4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725""]",04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,ce58ffcd96f0ebe7a41d6218aa961d13107d1fb781a9a12d79974cd0f7f5e0d8,e2e/primary/v1/raw/benchmark/m256/group_1_position_1_candidate_8warp_n64_temporal_replay_v0.json
primary,256,1,2,v1,candidate,candidate_8warp_n64_temporal_replay_v0,519.2153632640839,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,c22a5449113ba7c1c9a40bf02e14698cc84f1e90c56232718eba29d5a06de486,"[""4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725""]",04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,4b7d955274edc68375853d2a86e08e79a67ca126cbc24ff65ef20826064d071b,e2e/primary/v1/raw/benchmark/m256/group_1_position_2_candidate_8warp_n64_temporal_replay_v0.json
primary,256,1,3,v0,baseline,candidate_8warp_n64_temporal_replay_v0,571.7183995246887,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,29022d8c3f6fc5ed65923140a82ca33b59eba807a9395679a1a960a6f5183f8e,"[""a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9""]",b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,391a716a8086ee0e6ff824848c8cb72576d1b2dca641472b8de3906c66ab605b,e2e/primary/v0/raw/benchmark/m256/group_1_position_3_candidate_8warp_n64_temporal_replay_v0.json
primary,256,2,0,v0,baseline,candidate_8warp_n64_temporal_replay_v0,571.3996756076813,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,1953cbb7717cda4461a4f199d05f370a4bdb35b4b8ef7556443caf36b0b12ec2,29022d8c3f6fc5ed65923140a82ca33b59eba807a9395679a1a960a6f5183f8e,"[""a9557634cf3d1bff59ca93739e75a1acd1187707222255fead78e2e6e8a73af9""]",b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,b7590af7a7d9892ac5fa00c0bfb50b769c2d9e0e10c2d20ec685343a78b1dc3a,501cb7bfa82e051ec8bc130d6cf2cdcfb36386019e8d620edd0e842c44ae864a,e2e/primary/v0/raw/benchmark/m256/group_2_position_0_candidate_8warp_n64_temporal_replay_v0.json
primary,256,2,1,v1,candidate,candidate_8warp_n64_temporal_replay_v0,519.0931165218353,5,50,201326592,locked,GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522,2377,f3c246817679d962a3f7160dbe8b9e68262c919e26e306f349200961fc4ac971,c22a5449113ba7c1c9a40bf02e14698cc84f1e90c56232718eba29d5a06de486,"[""4b835aa8ce91a4dd12b4dc4f43508c205c117aaeb193995fff57dd3ddbeb7725""]",04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,04abfe65cc56d040e5ae2c11f57a782bac9774f4619a034ec9c304c18b0e5c52,ad7c4f3b071a7353e2d76ffbdb4fd362339db5b5dcaa00698a1e8a410955dbc8,e2e/primary/v1/raw/benchmark/m256/group_2_position_1_candidate_8warp_n64_temporal_replay_v0.json
