Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=8, grid=880 blocks × 32 threads
Config: num_kernels=32 testtimes=64000 gap_us=0 mode=fp8-e4m3-noscale
Mode: fp8-e4m3-noscale, FLOPs/block=2097152000, FLOPs/kernel=1845493760000
Kernel resources: registers/thread=44 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,3262.784,565.619
1,3230.496,571.273
2,3223.584,572.498
3,3219.200,573.277
4,3220.000,573.135
5,3220.576,573.032
6,3218.048,573.482
7,3219.072,573.300
8,3213.952,574.213
9,3217.024,573.665
10,3220.128,573.112
11,3221.152,572.930
12,3220.128,573.112
13,3221.152,572.930
14,3221.120,572.935
15,3220.128,573.112
16,3219.104,573.294
17,3218.080,573.477
18,3219.072,573.300
19,3220.128,573.112
20,3221.152,572.930
21,3220.128,573.112
22,3221.152,572.930
23,3222.144,572.753
24,3221.120,572.935
25,3220.128,573.112
26,3221.152,572.930
27,3220.128,573.112
28,3221.152,572.930
29,3221.120,572.935
30,3220.128,573.112
31,3221.120,572.935
