Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=8, grid=880 blocks × 32 threads
Config: num_kernels=32 testtimes=64000 gap_us=0 mode=fp8-e4m3-vs32
Mode: fp8-e4m3-vs32, FLOPs/block=2097152000, FLOPs/kernel=1845493760000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,3252.544,567.400
1,3226.464,571.986
2,3223.744,572.469
3,3221.120,572.935
4,3218.048,573.482
5,3216.480,573.762
6,3213.984,574.208
7,3214.976,574.030
8,3218.048,573.482
9,3219.104,573.294
10,3218.080,573.477
11,3219.104,573.294
12,3220.128,573.112
13,3219.104,573.294
14,3219.104,573.294
15,3218.048,573.482
16,3217.056,573.659
17,3218.080,573.477
18,3219.104,573.294
19,3220.128,573.112
20,3219.104,573.294
21,3220.128,573.112
22,3219.104,573.294
23,3218.048,573.482
24,3221.120,572.935
25,3220.096,573.118
26,3221.152,572.930
27,3220.096,573.118
28,3221.120,572.935
29,3221.152,572.930
30,3222.144,572.753
31,3223.168,572.571
