Device: NVIDIA Graphics Device, 110 SMs, blocks_per_sm=8, grid=880 blocks × 32 threads
Config: num_kernels=32 testtimes=64000 gap_us=0 mode=nvfp4-e2m1-vs16
Mode: nvfp4-e2m1-vs16, FLOPs/block=4194304000, FLOPs/kernel=3690987520000
Kernel resources: registers/thread=52 static_smem=0B max_active_one_warp_blocks/SM=24
kernel_idx,dur_us,tflops
0,3258.400,1132.761
1,3236.736,1140.342
2,3223.392,1145.063
3,3223.296,1145.097
4,3225.440,1144.336
5,3222.560,1145.359
6,3222.144,1145.507
7,3223.168,1145.143
8,3222.144,1145.507
9,3219.072,1146.600
10,3218.048,1146.965
11,3223.168,1145.143
12,3224.192,1144.779
13,3225.216,1144.416
14,3225.216,1144.416
15,3226.240,1144.052
16,3225.216,1144.416
17,3224.192,1144.779
18,3225.216,1144.416
19,3226.240,1144.052
20,3225.216,1144.416
21,3226.240,1144.052
22,3225.248,1144.404
23,3226.240,1144.052
24,3225.216,1144.416
25,3226.272,1144.041
26,3227.264,1143.689
27,3227.296,1143.678
28,3226.240,1144.052
29,3225.216,1144.416
30,3226.240,1144.052
31,3229.312,1142.964
