timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:02.422, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:02.447, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 141 MiB
2026/07/22 19:02:02.467, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 141 MiB
2026/07/22 19:02:02.488, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 159 MiB
2026/07/22 19:02:02.509, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:02.530, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:02.551, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:02.571, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.25 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:02.591, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.612, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.636, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.657, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.678, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.699, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.720, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.740, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.779, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.804, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.832, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.852, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.872, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.893, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.934, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.954, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.975, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:02.995, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.015, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.035, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.056, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.076, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 71.11 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.096, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.117, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.137, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.157, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.178, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.198, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.218, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
2026/07/22 19:02:03.238, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 69.05 W, 350.00 W, 29, 11 %, 467 MiB
