timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:23.561, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.47 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:23.600, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:23.621, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 141 MiB
2026/07/22 19:02:23.641, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.661, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.681, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.702, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.722, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.742, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.762, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.783, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.803, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.824, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.845, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.865, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.885, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.905, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.926, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.946, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.966, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:23.987, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.007, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.027, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.049, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.069, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.091, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.112, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.133, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.153, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.176, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.196, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.217, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.237, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.257, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.278, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.298, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.318, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.338, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.359, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.402, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.422, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.442, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.463, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.483, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.503, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.523, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.544, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.564, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.584, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 67.59 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.604, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.625, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.645, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.665, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.686, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.706, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.726, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.746, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.767, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.787, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.807, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.828, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.848, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.868, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.889, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.909, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.929, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.949, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.970, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:24.990, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.010, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.031, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.051, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.071, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.091, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.66 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.112, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.132, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.152, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.173, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.193, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.213, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.233, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.254, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.274, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.294, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.315, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.335, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.355, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.376, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.396, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.416, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.437, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.457, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.478, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.498, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.518, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.540, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.560, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.580, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:25.601, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.621, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.642, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.662, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.682, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.703, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.723, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.743, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:25.763, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 465 MiB
2026/07/22 19:02:25.786, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 465 MiB
2026/07/22 19:02:25.816, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 465 MiB
2026/07/22 19:02:25.836, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 64.37 W, 350.00 W, 29, 0 %, 124 MiB
