timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:15.504, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.19 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:15.531, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.19 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:15.554, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.19 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:15.576, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.19 W, 350.00 W, 29, 0 %, 141 MiB
2026/07/22 19:02:15.597, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 159 MiB
2026/07/22 19:02:15.618, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.638, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.659, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.679, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.699, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.720, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.740, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.760, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.781, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.801, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.821, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.852, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.872, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.893, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.913, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.933, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.953, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.974, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:15.994, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:16.014, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:16.035, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:16.055, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:16.075, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2407 MHz, 13365 MHz, 70.87 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:16.096, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 76.64 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:16.116, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 76.64 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:16.136, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 76.64 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:16.156, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 76.64 W, 350.00 W, 29, 0 %, 467 MiB
