timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:32.702, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 141 MiB
2026/07/22 19:02:32.809, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 141 MiB
2026/07/22 19:02:32.832, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 141 MiB
2026/07/22 19:02:32.857, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 205 MiB
2026/07/22 19:02:32.878, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 1489 MiB
2026/07/22 19:02:32.900, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 1489 MiB
2026/07/22 19:02:32.921, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 1489 MiB
2026/07/22 19:02:32.942, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 1489 MiB
2026/07/22 19:02:32.963, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 1489 MiB
2026/07/22 19:02:32.984, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 977 MiB
2026/07/22 19:02:33.009, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 463 MiB
2026/07/22 19:02:33.039, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 463 MiB
2026/07/22 19:02:33.059, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 463 MiB
2026/07/22 19:02:33.080, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2557 MHz, 13365 MHz, 105.76 W, 350.00 W, 30, 1 %, 124 MiB
