timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:07.365, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 140 MiB
2026/07/22 19:02:07.403, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 140 MiB
2026/07/22 19:02:07.424, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 143 MiB
2026/07/22 19:02:07.444, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 157 MiB
2026/07/22 19:02:07.465, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.485, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.505, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.525, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.546, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.566, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.586, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 70.76 W, 350.00 W, 31, 0 %, 467 MiB
2026/07/22 19:02:07.607, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.627, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.647, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.668, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.688, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.708, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.728, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:07.748, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2505 MHz, 13365 MHz, 68.53 W, 350.00 W, 29, 0 %, 467 MiB
