timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:28.475, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.04 W, 350.00 W, 30, 0 %, 130 MiB
2026/07/22 19:02:28.516, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.04 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.538, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.04 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.572, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.04 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.594, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2565 MHz, 13365 MHz, 61.04 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.614, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.635, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 140 MiB
2026/07/22 19:02:28.663, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 141 MiB
2026/07/22 19:02:28.685, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 141 MiB
2026/07/22 19:02:28.722, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 157 MiB
2026/07/22 19:02:28.743, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.763, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.783, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.804, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.824, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.844, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.865, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.885, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.905, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.928, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.948, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.969, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:28.989, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.009, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.030, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.050, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.070, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.090, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2400 MHz, 13365 MHz, 68.14 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.111, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.131, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.151, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.172, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.192, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.212, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.233, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:29.253, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 71.35 W, 350.00 W, 30, 0 %, 467 MiB
