timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:02:17.990, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.14 W, 350.00 W, 29, 0 %, 140 MiB
2026/07/22 19:02:18.015, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.14 W, 350.00 W, 29, 0 %, 141 MiB
2026/07/22 19:02:18.036, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.14 W, 350.00 W, 29, 0 %, 155 MiB
2026/07/22 19:02:18.056, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.14 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:18.077, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.14 W, 350.00 W, 29, 0 %, 467 MiB
2026/07/22 19:02:18.097, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.117, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.137, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.158, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.178, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.198, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.218, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.239, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.259, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.279, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.300, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.320, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
2026/07/22 19:02:18.340, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2542 MHz, 13365 MHz, 70.82 W, 350.00 W, 30, 0 %, 467 MiB
