timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:01:31.174, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 140 MiB
2026/07/22 19:01:31.212, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 140 MiB
2026/07/22 19:01:31.233, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 141 MiB
2026/07/22 19:01:31.254, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.274, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.294, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.315, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.335, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.355, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.376, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.396, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.416, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.437, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.457, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.477, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.497, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.518, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.538, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.558, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 61.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.579, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.599, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.619, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.639, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.660, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.680, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.700, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.721, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.741, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.761, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.782, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.802, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.822, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.842, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.863, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.883, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.903, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.924, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.944, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.964, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:31.985, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.005, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.025, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.046, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2385 MHz, 13365 MHz, 60.81 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.068, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.089, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.109, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.129, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.150, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.171, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.192, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.214, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.235, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.255, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.275, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.295, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.316, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.337, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.357, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.382, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.402, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.422, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.443, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.463, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.483, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.503, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.524, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.544, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.564, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.12 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.585, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.605, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.625, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.645, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.667, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.688, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.708, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.729, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.749, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.769, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.790, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.810, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.830, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.851, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.871, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.891, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.911, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.932, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.952, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.972, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:32.993, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.013, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.033, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.053, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.074, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.094, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.114, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.134, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.155, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.175, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.195, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.215, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.236, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.257, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 467 MiB
2026/07/22 19:01:33.277, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 465 MiB
2026/07/22 19:01:33.298, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.62 W, 350.00 W, 26, 0 %, 124 MiB
