timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:01:55.075, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.88 W, 350.00 W, 28, 0 %, 124 MiB
2026/07/22 19:01:55.100, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 140 MiB
2026/07/22 19:01:55.124, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 140 MiB
2026/07/22 19:01:55.146, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 141 MiB
2026/07/22 19:01:55.172, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 155 MiB
2026/07/22 19:01:55.192, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.212, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.233, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.254, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.274, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.298, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.318, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.338, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.359, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.380, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.400, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.420, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.440, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.461, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.481, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.513, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.533, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.554, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.574, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 59.79 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.594, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.614, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.635, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.655, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.675, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.696, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.716, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.736, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.757, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.777, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.797, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.817, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.838, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.858, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.878, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.899, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.919, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.939, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.960, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:55.980, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.000, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.020, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.041, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.061, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.10 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.081, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.102, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.122, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.142, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.163, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.183, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.203, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.223, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.244, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.264, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.284, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.305, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.325, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.345, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.365, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.386, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.406, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.426, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.447, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.467, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.487, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.508, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.528, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.548, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.569, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 60.08 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.589, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.610, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.630, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.651, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.671, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.691, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.712, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.732, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.753, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.773, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.794, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.814, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.834, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.854, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.875, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.895, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.915, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.943, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.963, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:56.984, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.004, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.024, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.045, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.065, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.085, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.105, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.126, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.146, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.166, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.187, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 467 MiB
2026/07/22 19:01:57.207, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 465 MiB
2026/07/22 19:01:57.228, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 465 MiB
2026/07/22 19:01:57.251, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2370 MHz, 13365 MHz, 59.86 W, 350.00 W, 28, 0 %, 124 MiB
