timestamp, uuid, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/07/22 19:01:40.688, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 124 MiB
2026/07/22 19:01:40.711, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 124 MiB
2026/07/22 19:01:40.731, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 140 MiB
2026/07/22 19:01:40.752, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 140 MiB
2026/07/22 19:01:40.772, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 141 MiB
2026/07/22 19:01:40.793, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 155 MiB
2026/07/22 19:01:40.813, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.834, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.854, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.881, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.901, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.926, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.946, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
2026/07/22 19:01:40.966, GPU-ab3d387a-b17d-bd26-a5cf-7968a2129522, P1, 2377 MHz, 13365 MHz, 60.97 W, 350.00 W, 27, 1 %, 467 MiB
